iter	RMSE
0	115.9594972
1	106.7778338
2	99.74515792
3	93.76694205
4	87.08481557
5	81.29702609
6	75.59239616
7	71.21330533
8	66.45625518
9	63.24200875
10	59.60846203
11	56.30177455
12	53.50983678
13	50.36741456
14	47.86635351
15	45.2482275
16	43.77369604
17	42.11068103
18	40.32023331
19	39.04788422
20	37.02421073
21	34.97182196
22	33.74738916
23	32.63388975
24	31.54185197
25	30.58472512
26	29.65543856
27	28.72198562
28	28.05726266
29	27.30526218
30	26.05860009
31	25.30522757
32	24.30204786
33	23.66487812
34	22.4396308
35	21.80394949
36	20.6690347
37	20.14501842
38	19.58054237
39	19.04796596
40	18.55581949
41	18.11938926
42	17.70473439
43	17.28505583
44	16.91568624
45	16.52302302
46	16.17395222
47	15.8395818
48	15.06398299
49	14.76105782
50	14.44306245
51	13.81865742
52	13.5576074
53	13.32190869
54	13.0808592
55	12.83772168
56	12.61984404
57	12.08973328
58	11.88094705
59	11.69358211
60	11.2365901
61	11.06839295
62	10.59513369
63	10.4409396
64	10.0176674
65	9.88278711
66	9.758129962
67	9.636370871
68	9.514045246
69	9.179160944
70	9.09016074
71	8.999658831
72	8.91499767
73	8.824705811
74	8.518553571
75	8.447318575
76	8.360686748
77	8.07585837
78	7.832970554
79	7.779886675
80	7.722120252
81	7.668220969
82	7.617951123
83	7.325711739
84	7.132027594
85	7.089105767
86	7.032252054
87	6.819262382
88	6.659832023
89	6.608772149
90	6.428419302
91	6.396610182
92	6.247705258
93	6.205263323
94	6.179857772
95	6.052624186
96	5.902177839
97	5.859395446
98	5.699193383
99	5.587503057
100	5.474876771
101	5.442697963
102	5.304901801
103	5.176012703
104	5.050928015
105	4.950869014
106	4.80655373
107	4.730762067
108	4.665774069
109	4.580442512
110	4.515965097
111	4.453507666
112	4.42993398
113	4.33911897
114	4.31323182
115	4.287933874
116	4.233516332
117	4.171216874
118	4.148725665
119	4.088621592
120	4.058402564
121	3.954379863
122	3.924298527
123	3.835567212
124	3.817867042
125	3.746713539
126	3.654815037
127	3.593215828
128	3.546760238
129	3.535803453
130	3.440082898
131	3.424288338
132	3.34962635
133	3.272062994
134	3.19991794
135	3.189649367
136	3.13541234
137	3.07095992
138	3.005486584
139	2.997574329
140	2.991359304
141	2.934350128
142	2.880565119
143	2.831550603
144	2.808672774
145	2.771537202
146	2.751373117
147	2.706242948
148	2.653792836
149	2.604534649
150	2.575090327
151	2.537794253
152	2.505382448
153	2.473751154
154	2.463794228
155	2.416603
156	2.382182079
157	2.367576501
158	2.361920651
159	2.335606128
160	2.298880351
161	2.268913012
162	2.257984554
163	2.243346175
164	2.205432462
165	2.191457898
166	2.175172716
167	2.142797499
168	2.136382518
169	2.111616364
170	2.103288331
171	2.070024063
172	2.028241286
173	1.991106249
174	1.986155032
175	1.955794371
176	1.919764985
177	1.907099461
178	1.881400238
179	1.873925275
180	1.853342292
181	1.821012413
182	1.810770421
183	1.786838744
184	1.757353488
185	1.725432538
186	1.718853286
187	1.711118004
188	1.690881581
189	1.687271476
190	1.662765828
191	1.657266478
192	1.621441888
193	1.618178312
194	1.599564571
195	1.58250092
196	1.577754352
197	1.57544288
198	1.573343644
199	1.560268969
200	1.558047365
201	1.538347377
202	1.523113521
203	1.509159762
204	1.507493834
205	1.4830176
206	1.470301254
207	1.453607072
208	1.433113867
209	1.420490643
210	1.392978902
211	1.386231988
212	1.368718835
213	1.354081224
214	1.348246402
215	1.343351962
216	1.341473068
217	1.33756766
218	1.322308924
219	1.320962601
220	1.307926771
221	1.306637051
222	1.296199222
223	1.285646699
224	1.268171109
225	1.263933714
226	1.257252598
227	1.244419914
228	1.22595725
229	1.212049317
230	1.208563222
231	1.202118572
232	1.197205198
233	1.177471046
234	1.164090566
235	1.15181033
236	1.135524275
237	1.121239258
238	1.109271009
239	1.106149046
240	1.091088218
241	1.074839057
242	1.061612458
243	1.052373885
244	1.037994603
245	1.025401813
246	1.016751367
247	1.008526758
248	0.9992668744
249	0.9879413295
250	0.9851264381
251	0.9749365519
252	0.960566299
253	0.9513403788
254	0.9395324652
255	0.9383012327
256	0.9336168205
257	0.9324984814
258	0.9213067663
259	0.9134176113
260	0.9108510194
261	0.8996880396
262	0.8897116688
263	0.8819925362
264	0.872846674
265	0.8593059267
266	0.8500737814
267	0.8460526313
268	0.8433660669
269	0.83288793
270	0.8229727992
271	0.8186306858
272	0.8171599807
273	0.8068029047
274	0.8056913182
275	0.8027678656
276	0.7916092979
277	0.7833599968
278	0.776119436
279	0.7673019078
280	0.764793451
281	0.7560299965
282	0.7435719423
283	0.7423592368
284	0.7376110056
285	0.7366917485
286	0.733560649
287	0.7250282433
288	0.7210221769
289	0.7140011122
290	0.7073212245
291	0.7014564856
292	0.6994823976
293	0.6975146995
294	0.6890460168
295	0.6828987237
296	0.6761893311
297	0.6726722603
298	0.668318581
299	0.6632187843
300	0.6566194673
301	0.6507404596
302	0.6417161967
303	0.6328718277
304	0.6259643782
305	0.6199967159
306	0.6149804943
307	0.6126627133
308	0.60967058
309	0.6075424048
310	0.601687177
311	0.5992233777
312	0.5985575688
313	0.5953330717
314	0.5911561527
315	0.5859518365
316	0.580350934
317	0.5797361413
318	0.5737594102
319	0.5674568737
320	0.5642807427
321	0.5603524309
322	0.5541289235
323	0.5529485601
324	0.5487790287
325	0.543928813
326	0.5399341492
327	0.536883042
328	0.5294629741
329	0.5245669842
330	0.5195236239
331	0.5137191777
332	0.5122960306
333	0.5083870057
334	0.5040616951
335	0.4998729575
336	0.4962573106
337	0.4935358147
338	0.4895303722
339	0.4855507227
340	0.4820576041
341	0.4765587413
342	0.4751011746
343	0.4738333883
344	0.4697663297
345	0.4693439511
346	0.4649666167
347	0.4608811128
348	0.4570013163
349	0.4536746066
350	0.4505562252
351	0.4469183061
352	0.4450292496
353	0.4423800319
354	0.4419988041
355	0.4394619863
356	0.4352615903
357	0.4340069898
358	0.4327994396
359	0.4303758232
360	0.4261679677
361	0.4243668396
362	0.4222868641
363	0.4187708629
364	0.4137501325
365	0.4111789739
366	0.407407856
367	0.4045300763
368	0.4013455732
369	0.3966795315
370	0.3939013346
371	0.3919143097
372	0.3889854855
373	0.3849488251
374	0.3830047011
375	0.3805175677
376	0.3786640518
377	0.3762224614
378	0.3745520703
379	0.3709528687
380	0.3682096586
381	0.3648024434
382	0.3638245354
383	0.360520187
384	0.3588453532
385	0.356877665
386	0.3553993458
387	0.3510942571
388	0.3494200047
389	0.3457259118
390	0.3443878608
391	0.3416065141
392	0.3391078812
393	0.3361526764
394	0.3337748606
395	0.3328055132
396	0.3281966739
397	0.3257989746
398	0.3229923062
399	0.3205848267
400	0.3184393526
401	0.3172326618
402	0.314603986
403	0.3135893
404	0.3116753707
405	0.3097244922
406	0.3090700343
407	0.3070472878
408	0.3058014233
409	0.303754804
410	0.3022038297
411	0.3000746866
412	0.2992490482
413	0.2968959342
414	0.2952201233
415	0.2941649353
416	0.2934442857
417	0.2909968531
418	0.2902283146
419	0.289725128
420	0.2877961479
421	0.2871431466
422	0.2860573774
423	0.2853638468
424	0.2832932303
425	0.2811390665
426	0.2791300528
427	0.2760074243
428	0.2735471322
429	0.2718073461
430	0.2711781337
431	0.2694758594
432	0.267630521
433	0.2666258483
434	0.2633310848
435	0.2606633491
436	0.2589825903
437	0.2579460725
438	0.2569580356
439	0.2563162355
440	0.2544835059
441	0.2532095866
442	0.2513774154
443	0.2507228035
444	0.2486854462
445	0.247458522
446	0.2454004148
447	0.2429444169
448	0.2419740748
449	0.2409811124
450	0.2400987209
451	0.2379990109
452	0.2375133147
453	0.235832639
454	0.2354228421
455	0.233870558
456	0.2332226863
457	0.2323126831
458	0.2301457424
459	0.2284320261
460	0.2266839926
461	0.2248760301
462	0.2239254653
463	0.223278918
464	0.2214866874
465	0.2195001256
466	0.2187572585
467	0.2176116165
468	0.2165779929
469	0.2153828041
470	0.2140133141
471	0.2125959076
472	0.2114872324
473	0.2100239262
474	0.2077913418
475	0.2065907474
476	0.2045070282
477	0.2029269777
478	0.2016619703
479	0.2004337465
480	0.1992388472
481	0.1983088786
482	0.1970494736
483	0.1945169745
484	0.1935432586
485	0.1919938217
486	0.1905653926
487	0.1900603976
488	0.1895796548
489	0.188210216
490	0.1879304675
491	0.186100983
492	0.1852205526
493	0.1838851204
494	0.1828204821
495	0.1817615826
496	0.1801485417
497	0.1797332052
498	0.1787609879
499	0.1775440142
500	0.1757916299
501	0.1749375298
502	0.1746829821
503	0.1741834269
504	0.1740729052
505	0.1736658412
506	0.1725580003
507	0.1717713426
508	0.1707037473
509	0.1701019215
510	0.1687627248
511	0.1680058221
512	0.1671311513
513	0.165711923
514	0.1633792282
515	0.1632647494
516	0.1631578617
517	0.1622946365
518	0.1615411438
519	0.1602877201
520	0.1593150058
521	0.1579869408
522	0.1567329368
523	0.1559728991
524	0.1550322652
525	0.1535622857
526	0.1523660588
527	0.1513318278
528	0.1509803426
529	0.1498508392
530	0.1489923688
531	0.1479639377
532	0.1469383486
533	0.1460226316
534	0.144795281
535	0.1442916734
536	0.1434324847
537	0.142159331
538	0.1409881585
539	0.1400244094
540	0.1389931485
541	0.1380276807
542	0.1378762906
543	0.1366492968
544	0.1365516279
545	0.1361686181
546	0.1356168636
547	0.1349195829
548	0.1335692297
549	0.1322105426
550	0.1317541395
551	0.1315544479
552	0.1306578315
553	0.129591069
554	0.1290244101
555	0.1284783663
556	0.127557986
557	0.1267307756
558	0.1261707101
559	0.1257033856
560	0.1247596973
561	0.1243748328
562	0.1238288775
563	0.1232206233
564	0.1227235877
565	0.1222576355
566	0.1221798227
567	0.1215013383
568	0.1209827538
569	0.1204780422
570	0.1199517793
571	0.119463859
572	0.1189501813
573	0.1181281852
574	0.1180586525
575	0.117917246
576	0.1175236716
577	0.1164983677
578	0.1162418956
579	0.1156181301
580	0.1144589332
581	0.1139264974
582	0.1135800438
583	0.1133562286
584	0.1123112781
585	0.1113240198
586	0.1112112725
587	0.1107622042
588	0.1105534306
589	0.1104998786
590	0.1095058353
591	0.1086466153
592	0.1083211599
593	0.1074818007
594	0.1072987586
595	0.1072506914
596	0.1065423291
597	0.1058169719
598	0.1050581239
599	0.104870139
600	0.1045842185
601	0.1043569903
602	0.1037784385
603	0.1036140053
604	0.1033994025
605	0.1028261196
606	0.1025112833
607	0.1018177222
608	0.10120482
609	0.1006200392
610	0.09967018553
611	0.09860636792
612	0.09764178182
613	0.09706039353
614	0.09629294027
615	0.09538522453
616	0.09508358485
617	0.09463952883
618	0.09409691838
619	0.09383101945
620	0.09336687058
621	0.09321416952
622	0.09249399005
623	0.09201637118
624	0.0916498646
625	0.09141232743
626	0.09117661647
627	0.09062521158
